codici_specialita,codici_ospedale,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,capacita_max
spec_43,res_01000403,"3,00","3,00","3,00","3,00","1,00","0,00","2,00","8,00"
spec_43,res_01002301,"13,00","7,00","8,00","5,00","7,00","2,00","2,00","20,00"
spec_43,res_01000602,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00"
spec_43,res_01003001,"5,00","5,00","4,00","4,00","8,00","3,00","1,00","36,00"
spec_43,res_01012601,"8,00","11,00","11,00","8,00","8,00","2,00","3,00","21,00"
spec_43,res_01000601,"8,00","5,00","9,00","5,00","6,00","2,00","4,00","17,00"
spec_43,res_01090203,"5,00","8,00","6,00","7,00","6,00","1,00","1,00","34,00"
spec_64,res_01089700,"13,00","10,00","10,00","6,00","11,00","0,00","1,00","128,00"
spec_64,res_01000801,"17,00","20,00","15,00","13,00","20,00","0,00","0,00","259,00"
spec_64,res_01090400,"2,00","3,00","2,00","3,00","2,00","2,00","1,00","9,00"
spec_64,res_01090600,"28,00","19,00","26,00","11,00","23,00","3,00","3,00","210,00"
spec_64,res_01090800,"48,00","31,00","37,00","9,00","31,00","0,00","0,00","305,00"
spec_64,res_01001200,"23,00","15,00","18,00","28,00","16,00","0,00","0,00","196,00"
spec_64,res_01061000,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00"
spec_64,res_01002603,"8,00","6,00","10,00","4,00","3,00","0,00","0,00","88,00"
spec_64,res_01002601,"22,00","16,00","14,00","16,00","11,00","3,00","2,00","168,00"
spec_64,res_01000502,"20,00","16,00","11,00","9,00","12,00","3,00","3,00","143,00"
spec_64,res_01000300,"4,00","5,00","4,00","4,00","3,00","0,00","0,00","33,00"
spec_64,res_01000501,"7,00","4,00","5,00","5,00","7,00","0,00","0,00","45,00"
spec_64,res_01090101,"92,00","67,00","50,00","32,00","74,00","4,00","4,00","567,00"
spec_64,res_01090301,"16,00","14,00","10,00","15,00","4,00","0,00","0,00","116,00"
spec_64,res_01008500,"17,00","14,00","17,00","9,00","18,00","2,00","1,00","205,00"
spec_64,res_01088200,"6,00","6,00","4,00","4,00","6,00","1,00","0,00","29,00"
